Date,Round,Court,Surface,Series,Tournament,tourney_weight,Winner,loser,game_ratio_1,game_ratio_2,Rank_1,Rank_2,Pts_1,Pts_2,Odd_1,Odd_2,player_num,player,game_ratio,rank,points,odds,year,week,corr_date
05/25/2021,2nd Round,Outdoor,Clay,ATP250,Belgrade Open,250,Djokovic N.,Moraing M.,0.615,1.625,253,1,241,11063,26,1.01,Player_2,Djokovic N.,1.625,1,11063,1.01,2021,21,05/25/2021
05/27/2021,Quarterfinals,Outdoor,Clay,ATP250,Belgrade Open,250,Djokovic N.,Coria F.,12,0.083,1,96,11063,808,1.02,19,Player_1,Djokovic N.,12,1,11063,1.02,2021,21,05/27/2021
05/28/2021,Semifinals,Outdoor,Clay,ATP250,Belgrade Open,250,Djokovic N.,Martin A.,0.438,2.286,119,1,673,11063,19,1.02,Player_2,Djokovic N.,2.286,1,11063,1.02,2021,21,05/28/2021
05/29/2021,The Final,Outdoor,Clay,ATP250,Belgrade Open,250,Djokovic N.,Molcan A.,1.714,0.583,1,255,11063,237,1.02,19,Player_1,Djokovic N.,1.714,1,11063,1.02,2021,21,05/29/2021
06/01/2021,1st Round,Outdoor,Clay,Grand Slam,French Open,1500,Djokovic N.,Sandgren T.,0.444,2.25,66,1,1033,11313,0.967,29,Player_2,Djokovic N.,2.25,1,11313,29,2021,22,06/01/2021
06/03/2021,2nd Round,Outdoor,Clay,Grand Slam,French Open,1500,Djokovic N.,Cuevas P.,2,0.5,1,92,11313,846,1.02,19,Player_1,Djokovic N.,2,1,11313,1.02,2021,22,06/03/2021
06/05/2021,3rd Round,Outdoor,Clay,Grand Slam,French Open,1500,Djokovic N.,Berankis R.,0.333,3,93,1,839,11313,0.967,29,Player_2,Djokovic N.,3,1,11313,29,2021,22,06/05/2021
05/31/2021,1st Round,Outdoor,Clay,Grand Slam,French Open,1500,Federer R.,Istomin D.,0.5,2,204,8,343,5605,6,1.12,Player_2,Federer R.,2,8,5605,1.12,2021,22,05/31/2021
06/03/2021,2nd Round,Outdoor,Clay,Grand Slam,French Open,1500,Federer R.,Cilic M.,0.762,1.313,47,8,1388,5605,2.5,1.53,Player_2,Federer R.,1.313,8,5605,1.53,2021,22,06/03/2021
06/05/2021,3rd Round,Outdoor,Clay,Grand Slam,French Open,1500,Federer R.,Koepfer D.,0.889,1.125,59,8,1134,5605,3.5,1.3,Player_2,Federer R.,1.125,8,5605,1.3,2021,22,06/05/2021
06/01/2021,1st Round,Outdoor,Clay,Grand Slam,French Open,1500,Nadal R.,Popyrin A.,1.727,0.579,3,63,9630,1052,1.01,23,Player_1,Nadal R.,1.727,3,9630,1.01,2021,22,06/01/2021
06/03/2021,2nd Round,Outdoor,Clay,Grand Slam,French Open,1500,Nadal R.,Gasquet R.,2.714,0.368,3,53,9630,1213,1.01,26,Player_1,Nadal R.,2.714,3,9630,1.01,2021,22,06/03/2021
06/05/2021,3rd Round,Outdoor,Clay,Grand Slam,French Open,1500,Nadal R.,Norrie C.,2,0.5,3,45,9630,1430,1.02,19,Player_1,Nadal R.,2,3,9630,1.02,2021,22,06/05/2021
06/07/2021,4th Round,Outdoor,Clay,Grand Slam,French Open,1500,Djokovic N.,Musetti L.,1.867,0.536,1,76,11313,950,1.05,11,Player_1,Djokovic N.,1.867,1,11313,1.05,2021,23,06/07/2021
06/09/2021,Quarterfinals,Outdoor,Clay,Grand Slam,French Open,1500,Djokovic N.,Berrettini M.,0.68,1.471,9,1,3958,11313,5,1.16,Player_2,Djokovic N.,1.471,1,11313,1.16,2021,23,06/09/2021
06/11/2021,Semifinals,Outdoor,Clay,Grand Slam,French Open,1500,Djokovic N.,Nadal R.,1.294,0.773,1,3,11313,9630,3,1.4,Player_1,Djokovic N.,1.294,1,11313,3,2021,23,06/11/2021
